Algorithm: Bellman-Ford
Source: 0
Vertex Distance
0 0
1 20
2 16
3 29
4 20
5 15
6 10
7 26
8 INF
9 19
10 19
11 46
12 28
13 8
14 23
15 15
16 33
17 52
18 33
19 37
20 13
21 20
22 27
23 18
24 22
25 16
26 24
27 13
28 18
29 31
30 27
31 20
32 30
33 20
34 4
35 21
36 37
37 13
38 INF
39 17
40 INF
41 22
42 15
43 9
44 22
45 23
46 12
47 23
48 22
49 17
50 42
51 14
52 41
53 INF
54 10
55 12
56 15
57 24
58 24
59 26
60 10
61 36
62 18
63 23
64 28
65 18
66 48
67 11
68 32
69 9
70 9
71 33
72 18
73 INF
74 43
75 INF
76 6
77 21
78 21
79 26
80 17
81 9
82 21
83 3
84 4
85 28
86 22
87 6
88 3
89 16
90 8
91 37
92 16
93 31
94 11
95 48
96 12
97 24
98 43
99 INF
Negative cycle: none
Execution time: 0.009559 ms
